Entity,Code,Day,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V,Sinovac,Sinopharm/Beijing,CanSino
Austria,AUT,2021-01-08,31394,0,0,0,0,0,0,0
Austria,AUT,2021-01-15,116787,91,0,0,0,0,0,0
Austria,AUT,2021-01-22,214625,310,1,0,0,0,0,0
Austria,AUT,2021-01-29,259623,4263,2,0,0,0,0,0
Austria,AUT,2021-02-05,355562,5967,10,0,0,0,0,0
Austria,AUT,2021-02-12,457486,10065,10834,0,0,0,0,0
Austria,AUT,2021-02-19,523386,14200,43674,0,0,0,0,0
Austria,AUT,2021-02-26,584751,22625,101612,0,0,0,0,0
Austria,AUT,2021-03-05,689442,31985,156570,0,0,0,0,0
Austria,AUT,2021-03-12,852795,47366,235426,0,0,0,0,0
Austria,AUT,2021-03-19,985682,79205,308857,16,0,0,0,0
Austria,AUT,2021-03-26,1132083,104644,384409,30,0,0,0,0
Austria,AUT,2021-04-02,1280443,141061,423025,51,0,0,0,0
Austria,AUT,2021-04-09,1502008,180646,513583,93,0,0,0,0
Austria,AUT,2021-04-16,1735971,223207,609634,102,0,0,0,0
Austria,AUT,2021-04-23,1999668,260552,658644,107,0,0,0,0
Austria,AUT,2021-04-30,2273247,299528,701154,370,0,0,0,0
Austria,AUT,2021-05-07,2603812,348843,764266,6507,0,0,0,0
Austria,AUT,2021-05-14,2903381,398748,828537,13509,0,0,0,0
Austria,AUT,2021-05-21,3281282,466754,906436,25776,0,0,0,0
Austria,AUT,2021-05-28,3616651,520373,989483,37936,0,0,0,0
Austria,AUT,2021-06-04,4042366,575774,1058274,58161,0,0,0,0
Austria,AUT,2021-06-11,4480949,638794,1153814,79823,0,0,0,0
Austria,AUT,2021-06-18,4936120,688445,1206354,94785,0,0,0,0
Austria,AUT,2021-06-25,5380997,744198,1280416,103341,0,0,0,0
Austria,AUT,2021-07-02,5772027,804263,1388412,128732,0,0,0,0
Austria,AUT,2021-07-09,6099199,854611,1456366,152772,0,0,0,0
Austria,AUT,2021-07-16,6371031,899091,1508128,172017,0,0,0,0
Austria,AUT,2021-07-23,6619031,945569,1537976,188528,0,0,0,0
Austria,AUT,2021-07-30,6828350,964458,1564619,200546,0,0,0,0
Austria,AUT,2021-08-06,7004611,982232,1580166,215626,0,0,0,0
Austria,AUT,2021-08-13,7128476,991644,1586142,225832,0,0,0,0
Austria,AUT,2021-08-20,7220530,1005562,1589504,239125,0,0,0,0
Austria,AUT,2021-08-27,7277667,1009179,1591784,252693,0,0,0,0
Austria,AUT,2021-09-03,7325591,1013838,1594153,265317,0,0,0,0
Austria,AUT,2021-09-10,7372476,1016442,1595561,278165,0,0,0,0
Belgium,BEL,2021-01-08,27987,0,0,0,0,0,0,0
Belgium,BEL,2021-01-15,126750,35,0,0,0,0,0,0
Belgium,BEL,2021-01-22,244427,4493,0,0,0,0,0,0
Belgium,BEL,2021-01-29,334015,6181,0,0,0,0,0,0
Belgium,BEL,2021-02-05,462934,15919,0,0,0,0,0,0
Belgium,BEL,2021-02-12,598344,25488,348,0,0,0,0,0
Belgium,BEL,2021-02-19,698889,30274,10715,0,0,0,0,0
Belgium,BEL,2021-02-26,787397,32730,45224,0,0,0,0,0
Belgium,BEL,2021-03-05,876329,51534,109928,0,0,0,0,0
Belgium,BEL,2021-03-12,972628,67419,190971,0,0,0,0,0
Belgium,BEL,2021-03-19,1082905,89858,350656,0,0,0,0,0
Belgium,BEL,2021-03-26,1279352,100157,461238,0,0,0,0,0
Belgium,BEL,2021-04-02,1537834,127922,521165,0,0,0,0,0
Belgium,BEL,2021-04-09,1855765,175105,600811,0,0,0,0,0
Belgium,BEL,2021-04-16,2132966,209674,781647,0,0,0,0,0
Belgium,BEL,2021-04-23,2449867,260986,838516,0,0,0,0,0
Belgium,BEL,2021-04-30,2805557,287998,903950,2987,0,0,0,0
Belgium,BEL,2021-05-07,3357456,345798,1006606,23837,0,0,0,0
Belgium,BEL,2021-05-14,3808833,400285,1099555,29530,0,0,0,0
Belgium,BEL,2021-05-21,4177678,502069,1366353,49990,0,0,0,0
Belgium,BEL,2021-05-28,4619445,576384,1466174,73730,0,0,0,0
