"","NSW","VIC","QLD","SA","WA","TAS","NT","ACT"
"18/03","0","0","0","0","0","0","206","0"
"19/03","0","0","0","0","0","0","340","0"
"20/03","0","0","0","0","0","0","467","0"
"21/03","0","0","0","0","0","0","467","0"
"22/03","0","0","0","0","0","0","467","0"
"23/03","0","0","0","0","0","0","606","0"
"24/03","0","0","0","0","0","0","807","0"
"25/03","0","0","0","0","2635","0","1019","0"
"26/03","0","0","0","0","3444","0","1254","0"
"27/03","0","0","0","0","4025","0","1254","0"
"28/03","0","0","0","0","4101","0","1254","0"
"29/03","0","0","0","0","4269","0","1429","0"
"30/03","0","0","0","0","5066","0","1650","0"
"31/03","0","0","0","0","6270","0","1883","0"
"01/04","0","0","0","0","7177","0","2092","0"
"02/04","0","0","0","0","8217","0","2092","0"
"03/04","0","0","0","0","8393","0","2092","0"
"04/04","0","0","0","0","8520","0","2092","0"
"05/04","0","0","0","0","8647","0","2092","0"
"06/04","0","0","0","0","8684","0","2092","0"
"07/04","0","0","0","0","9554","0","2092","0"
"08/04","0","0","0","0","10334","0","2921","0"
"09/04","0","0","0","0","11214","0","2921","0"
"10/04","0","0","0","0","11918","0","2921","0"
"11/04","0","0","0","0","12088","0","2921","0"
"12/04","0","0","0","0","12172","0","3783","0"
"13/04","0","0","0","0","12963","0","3783","0"
"14/04","0","0","0","0","13827","0","3783","0"
"15/04","0","0","0","0","14667","0","3783","0"
"16/04","0","0","0","0","15372","0","3783","0"
"17/04","0","0","0","0","15372","0","3783","0"
"18/04","0","0","0","0","15372","0","3783","0"
"19/04","0","0","0","0","16261","0","3783","0"
"20/04","0","0","0","0","17331","0","3783","0"
"21/04","0","0","0","0","18422","0","4802","0"
"22/04","0","0","0","0","19361","0","4802","0"
"23/04","0","0","0","0","20159","0","4802","0"
"24/04","0","0","0","0","20159","0","4802","0"
"25/04","0","0","0","0","20968","0","4802","0"
"26/04","0","0","0","0","20968","0","4802","0"
"27/04","0","0","0","0","21159","0","4802","0"
