id,clinicId,shortName,location,address,suburb,addressFull,directions,lat,lng,lastUpdated,clinicStatus,hours,waitPeriod,waitPeriodDisp,shortNameClean,Accessible_Parking,Accessible_Toilets,Accessible_Mobility,Accessible_Auslan_EasyEnglish,Accessible_Assistance_Animals,Accessible_TIS_Available,Translated_Material,opening_hours,opening_hours_details,walk_in_hours_details,bookingsTable,walkinsTable,waitTimeYn
17,BAL03,East Grampians Health Service - Ararat,East Grampians Health Service - Ararat,5 Girdleston Street,Ararat,"5 Girdleston Street, Ararat",,-37.27890105,142.9321884,6/10/2021,Open,,-5,Wait time to be confirmed,East Grampians Health Service - Ararat,Yes,Yes,Yes,Easy English available,Yes,Yes,Yes,"Mon-Fri 8:30am-3:50pm, Sat-Sun Closed",,,Bookings accepted for all ages,Not accepting walk ins,No
47,WES03,Melbourne Showgrounds,Melbourne Showgrounds,"Gate 11, Epsom Road",Ascot Vale,"Gate 11, Epsom Road, Ascot Vale","Enter via Gate 11, then go to Pavilion 4. Free parking available for those who enter via Epsom Road (Gate 11).",-37.78206195,144.9149322,5/14/2021,Open,refer to the tables below for walk ins age limits (check the top of webpage for current walk ins wait time and status),-5,Wait time to be confirmed,Melbourne Showgrounds,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,Mon-Sun 8am-7pm,,,Bookings accepted for all ages,Walk ins accepted for ages 60 and over,No
30,LAT03,Bairnsdale City Oval,Bairnsdale City Oval,20 MacArthur Street,Bairnsdale,"20 MacArthur Street, Bairnsdale",,-37.83196516,147.6240645,6/2/2021,Open,,-5,Wait time to be confirmed,Bairnsdale City Oval,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,"Mon-Wed 9am-3:30pm, Thu-Sun Closed",,,Bookings accepted for all ages,Not accepting walk ins,Yes
16,BAL02,Mercure Ballarat Hotel and Convention Centre,Mercure Ballarat Hotel and Convention Centre,613 Main Road,Ballarat,"613 Main Road, Ballarat",Enter the car park from Burdeu Street (at 525 Main Road) and follow signage to the clinic. Parking also available at Zagames (639 Main Road).,-37.57923062,143.86846,4/16/2021,Open,refer to the tables below for walk ins age limits (check the top of webpage for current walk ins wait time and status),-5,Wait time to be confirmed,Mercure Ballarat Hotel and Convention Centre,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,"Mon-Sat 8:30am-3:40pm, Sun Closed. Walk ins accepted 8:30am-3:00pm",,Walk ins accepted 8:30am-3:00pm,Bookings accepted for all ages,Walk ins accepted for ages 60 and over,Yes
8,ALB09,Beechworth Vaccination Hub,Bantick House,52 Sydney Road,Beechworth,"52 Sydney Road, Beechworth",,-36.34957666,146.6915228,7/16/2021,Open,,-5,Wait time to be confirmed,Beechworth Vaccination Hub,Yes,Yes,Yes,,Yes,Yes,Yes,"Mon-Wed Closed, Thu-Fri 9am-4pm, Sat-Sun Closed",,,Bookings accepted for all ages,Not accepting walk ins,No
22,BEN02,Bendigo Health COVID-19 Vaccination Clinic,Bendigo Health COVID-19 Vaccination Clinic,113-133 Mollison Street,Bendigo,"113-133 Mollison Street, Bendigo",Street parking available along Mollison Street and McLaren Street. Parking also available on McLaren Street Vline car park.,-36.76282426,144.2837797,5/24/2021,Open,refer to the tables below for walk ins age limits (check the top of webpage for current walk ins wait time and status),-5,Wait time to be confirmed,Bendigo Health COVID-19 Vaccination Clinic,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,Mon-Sun 10am-5pm.  ,, ,Bookings accepted for all ages,Walk ins accepted for ages 60 and over,No
39,MON06,St John of God Hospital - Berwick,St John of God Hospital - Berwick,75 Kangan Drive,Berwick,"75 Kangan Drive, Berwick",,-38.04501094,145.3449185,5/7/2021,Open,,-5,Wait time to be confirmed,St John of God Hospital - Berwick,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,"Mon-Fri 8:30am-4pm, Sat-Sun Closed",,,Bookings accepted for ages 60 and over,Not accepting walk ins,No
12,AUS04,Box Hill Town Hall,Box Hill Town Hall,1022 Whitehorse Road,Box Hill,"1022 Whitehorse Road, Box Hill",,-37.81385162,145.1187243,6/5/2021,Open,,-5,Wait time to be confirmed,Box Hill Town Hall,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,Mon-Sun 8am-7:30pm,,,Bookings accepted for all ages,Not accepting walk ins,No
6,ALB07,Bright Vaccination Hub,Alpine Health Bright,32-36 Cobden Street,Bright,"32-36 Cobden Street, Bright",,-36.73333429,146.9664806,7/2/2021,Open,,-5,Wait time to be confirmed,Bright Vaccination Hub,,Yes,Yes,Easy English available,Yes,Yes,Yes,"Mon 10am-3:30pm, Tue-Sun Closed",,,Bookings accepted for ages 60 and over,Not accepting walk ins,No
54,C1911,Broadmeadows Town Hall,DPV Health - Broadmeadows Town Hall,10 Dimboola Road,Broadmeadows,"10 Dimboola Road, Broadmeadows",,-37.68256643,144.917528,5/28/2021,Open,refer to the tables below for walk ins age limits (check the top of webpage for current walk ins wait time and status),-5,Wait time to be confirmed,Broadmeadows Town Hall,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,"Mon-Fri 9:30am-4:30pm, Sat-Sun Closed",,,Bookings accepted for ages 60 and over,Walk ins accepted for ages 60 and over,Yes
63,AUS13,Campbellfield Ford Complex Drive Through COVID-19 Vaccination Clinic,Campbellfield Ford Complex,358 Barry Road,Campbellfield ,"358 Barry Road, Campbellfield ",,-37.6563773,144.949597,12/9/2021,Open,,-5,Wait time to be confirmed,Campbellfield Ford Complex Drive Through COVID-19 Vaccination Clinic,Yes,,,Auslan and Easy English available,Yes,Yes,No,Mon-Sun 8:30am-4pm,,,Bookings accepted for all ages,Not accepting walk ins,No
64,AUS18,Campbellfield Ford Complex Indoor COVID-19 Vaccination Clinic,Campbellfield Ford Complex,358 Barry Road,Campbellfield ,"358 Barry Road, Campbellfield ",,-37.6563773,144.949597,12/9/2021,Open,,-5,Wait time to be confirmed,Campbellfield Ford Complex Indoor COVID-19 Vaccination Clinic,Yes,,,Auslan and Easy English available,Yes,Yes,No,Mon-Sun 8:30am-4pm,,,Bookings accepted for all ages,Not accepting walk ins,No
40,MON09,Rosebud - Point Nepean Road,Rosebud - Point Nepean Road,1533 Point Nepean Road,Capel Sound,"1533 Point Nepean Road, Capel Sound",,-38.3616865,144.8839218,5/7/2021,Open,refer to the tables below for walk ins age limits (check the top of webpage for current walk ins wait time and status),-5,Wait time to be confirmed,Rosebud - Point Nepean Road,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,"Mon-Fri 9am-4pm, Sat-Sun Closed.  ",, ,Bookings accepted for ages 60 and over,Walk ins accepted for ages 60 and over,Yes
14,AUS09,Melbourne Museum,Melbourne Museum,9 Nicholson Street,Carlton,"9 Nicholson Street, Carlton","Free open air carpark available at 9 Nicholson Street. Turn left at front of Exhibition Building, prior to reaching Melbourne Museum’s underground carpark. Car park attended daily from 7:30am.",-37.80461743,144.971513,4/16/2021,Open,refer to the tables below for walk ins age limits (check the top of webpage for current walk ins wait time and status),-5,Wait time to be confirmed,Melbourne Museum,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,Mon-Sun 8am-3:45pm,,,Bookings accepted for all ages,Walk ins accepted for ages 60 and over,Yes
23,BEN03,Castlemaine Health,Castlemaine Health,142 Cornish Street,Castlemaine,"142 Cornish Street, Castlemaine",,-37.05414081,144.2116399,5/12/2021,Open,,-5,Wait time to be confirmed,Castlemaine Health,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,"Mon 9am-2:30pm, Tue Closed, Wed 9am-2:30pm, Thu Closed, Fri 9am-2:30pm, Sat-Sun Closed. (closed 12:45pm-1:30pm)",(closed 12:45pm-1:30pm),,Bookings accepted for all ages,Not accepting walk ins,No
37,MON01,Monash Medical Centre,Monash Health - Monash Medical Centre,246 Clayton Road,Clayton,"246 Clayton Road, Clayton","Entrance - Clinic D, Level 2.",-37.920097,145.1239693,5/7/2021,Open,,-5,Wait time to be confirmed,Monash Medical Centre,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,Mon-Sun 7:30am-3pm,,,Bookings accepted for ages under 60,Not accepting walk ins,No
28,GOU04,NCN Health - Cobram,"Nathalia, Cobram and Numurkah Health - Cobram",1 Odwyer Avenue,Cobram,"1 Odwyer Avenue, Cobram",,-35.91514732,145.6515398,5/7/2021,Open,,-5,Wait time to be confirmed,NCN Health - Cobram,Yes,No,Yes,Auslan and Easy English available,Yes,Yes,Yes,"Mon-Tue 8:30am-4:30pm, Wed 9am-8pm, Thu-Fri 8:30am-4:30pm, Sat-Sun Closed",,,Bookings accepted for all ages,Not accepting walk ins,No
5,ALB06,Corryong Vaccination Hub,Corryong Vaccination Hub,20 Kiell Street,Corryong,"20 Kiell Street, Corryong",,-36.19880709,147.9030129,7/2/2021,Open,,-5,Wait time to be confirmed,Corryong Vaccination Hub,Yes,Yes,Yes,Easy English available,Yes,Yes,Yes,"Mon Closed, Tue-Wed 9am-4pm, Thu-Sun Closed",,,Bookings accepted for ages 60 and over,Not accepting walk ins,No
43,MON12,Cranbourne Turf Club,Cranbourne Turf Club,50 Grant Street,Cranbourne,"50 Grant Street, Cranbourne","Parking available on-site enter via Grant Street. Nearest train station is Cranbourne Station. Nearest bus stop is Cranbourne Integrated Care/Sladen Street (Bus route 760, 791).",-38.11703261,145.280115,4/30/2021,Open,refer to the tables below for walk ins age limits (check the top of webpage for current walk ins wait time and status),-5,Wait time to be confirmed,Cranbourne Turf Club,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,Mon-Sun 9am-5pm. Walk ins accepted 9:00am-3:00pm,,Walk ins accepted 9:00am-3:00pm,Bookings accepted for all ages,Walk ins accepted for ages 60 and over,Yes
51,C1905,Deer Park IPC Health,IPC Health - Deer Park,106 Station Road,Deer Park,"106 Station Road, Deer Park",,-37.76703817,144.7757732,5/7/2021,Open,refer to the tables below for walk ins age limits (check the top of webpage for current walk ins wait time and status),-5,Wait time to be confirmed,Deer Park IPC Health,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,"Mon-Fri 9am-5pm, Sat-Sun Closed. Walk-in: Walk ins accepted 10:00am-2:00pm",,Walk ins accepted 10:00am-2:00pm,Bookings accepted for ages 60 and over,Walk ins accepted for ages 60 and over,No
45,MON15,Frankston Community Vaccination Hub,Frankston Community Vaccination Hub - Bayside Centre,"Level 1, Balmoral Building, Shannon Street Mall, Bayside Shopping Centre",Frankston,"Level 1, Balmoral Building, Shannon Street Mall, Bayside Shopping Centre, Frankston","Parking is free at the shopping centre. When you enter the carpark, collect an entry pass from the boom gate. Give this entry pass to the concierge to receive an exit pass. Nearest train station is Frankston Station.",-38.14093264,145.1245331,7/2/2021,Open,refer to the tables below for walk ins age limits (check the top of webpage for current walk ins wait time and status),-5,Wait time to be confirmed,Frankston Community Vaccination Hub,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,"Mon-Wed 9:30am-5pm, Thu-Fri 11:30am-7pm, Sat-Sun 9:30am-5pm.  . Walk ins accepted 9:00am-3:00pm", ,Walk ins accepted 9:00am-3:00pm,Bookings accepted for all ages,Walk ins accepted for ages 60 and over,Yes
