"","NSW: 3,059,121","VIC: 2,897,361","QLD: 1,610,904","SA: 657,907","WA: 1,002,558","TAS: 282,045","NT: 143,806","ACT: 261,080","Aged or Disability Care: 877,722","GP / Primary Care Network: 12,570,236"
"21/02","20","0","0","0","0","0","0","0","0","0"
"22/02","1,320","0","0","0","378","0","88","50","0","0"
"23/02","1320","580","203","168","378","0","88","50","0","0"
"24/02","3220","1255","527","403","800","383","88","250","0","0"
"25/02","5500","2063","942","743","1240","807","88","524","4715","0"
"26/02","7500","2894","1377","1053","1654","1153","581","777","6500","0"
"27/02","7500","3613","2030","1371","2299","1153","581","980","8100","0"
"28/02","7500","3762","2030","1481","2584","1153","581","980","9500","0"
"01/03","10339","3862","2030","1630","2879","1165","748","978","10071","0"
"02/03","12424","5020","3010","1920","2862","1165","1000","1173","13348","0"
"03/03","15000","6676","4212","2326","3519","1165","1000","1319","13348","0"
"04/03","16805","8645","5409","2682","4346","1970","1588","1563","18000","0"
"05/03","19027","10907","6534","3062","5546","2327","1840","1757","20000","0"
"06/03","19027","12851","8008","3455","6616","2327","1840","1949","20000","0"
"07/03","19027","13578","8300","3585","6872","2327","1840","1949","23000","0"
"08/03","21763","14422","8300","3705","7840","2327","2066","1951","23995","0"
"09/03","23923","15494","10092","3824","9289","2327","2349","2157","25453","0"
"10/03","27000","18325","11996","4274","11373","2713","2684","2382","25453","0"
"11/03","31313","22317","13989","4871","13498","3255","3070","2687","30000","0"
"12/03","31313","25948","16120","5822","15952","3667","3262","3025","30000","0"
"13/03","36820","30298","18411","6878","17748","3667","3519","3667","38934","0"
"14/03","36820","31202","18705","7124","18391","3667","3519","3363","39760","0"
"15/03","37553","31808","18705","7272","18948","3853","3519","3363","39760","0"
"16/03","37553","35282","21861","8300","20550","4616","3715","3869","42800","0"
"17/03","46820","38948","25173","9831","22944","5765","4096","4373","45607","0"
"18/03","51607","42989","28533","11362","25503","6715","4473","4875","50000","0"
"19/03","51607","47731","32527","12961","28134","7631","4784","5379","50000","0"
"20/03","51607","52283","36704","14051","30571","7631","5083","5901","50000","0"
"21/03","51607","53681","37002","14365","31512","7631","5083","5901","50000","0"
"22/03","64650","55023","37002","14916","32115","8267","5083","6536","58358","0"
"23/03","72943","59509","40870","16949","34877","8843","5371","7251","62262","0"
"24/03","72943","63894","45068","17751","36690","9854","5679","7513","66862","0"
"25/03","72943","69592","49462","19255","39259","11007","6186","8035","66862","0"
"26/03","89196","75626","53893","20832","41665","11728","6578","8563","76374","75700"
"27/03","89196","80698","58439","22272","44047","11728","6578","9096","76374","75700"
"28/03","89196","84210","58930","22497","44542","11728","6578","9429","80000","97000"
"29/03","96273","86282","59126","22787","45091","13091","7027","9746","82542","119796"
"30/03","96273","92765","65129","24145","47701","13750","7364","10281","99000","157575"
"31/03","100000","99065","71942","25535","50731","13750","7789","10819","99000","191720"
"01/04","117389","107522","79534","27023","53482","15077","8277","11361","105000","219665"
"02/04","124345","115077","87220","28337","56337","15077","8277","11361","105000","272582"
"03/04","125195","115987","88248","28614","56649","15077","8277","12430","105000","272582"
"04/04","126494","116234","88282","28759","56872","17511","8647","12778","111873","275732"
"05/04","126526","116677","88282","28933","57018","17511","8717","13110","111873","275732"
"06/04","127339","117700","89350","29355","57464","17511","9028","13774","112830","280943"
"07/04","134323","123759","94762","30735","59765","17511","9600","14445","112830","280943"
"08/04","140551","129537","100298","32635","62297","19903","9600","15134","125260","361083"
"09/04","146724","137320","105283","34707","64767","21475","10070","15823","133052","408290"
"10/04","151125","142130","108721","36473","66559","22887","10563","16497","138687","445224"
"11/04","151535","143417","109214","36916","66865","23572","10563","16979","142067","465440"
"12/04","151535","144320","109314","37656","67146","23727","10578","17458","142990","473578"
"13/04","155894","147798","112419","39206","68895","24614","10578","18059","142990","473578"
"14/04","160637","152363","115025","40728","70584","25832","11527","18644","152820","547512"
"15/04","164855","155928","117763","42601","72263","26728","11959","19236","158692","589280"
"16/04","169284","158498","120458","44150","74046","28047","12344","19813","164648","629289"
"17/04","173302","162108","122865","45485","75837","28630","12753","20365","170714","662478"
"18/04","173852","162553","122865","46154","76082","28721","12753","20852","172351","680425"
"19/04","173852","164045","122865","46591","76244","28933","12764","21332","172885","766741"
"20/04","177733","168250","126011","48115","78215","29417","13107","22056","177520","812862"
"21/04","181435","172308","128555","49349","80662","30573","13459","22619","183538","855609"
"22/04","185620","176827","131128","50674","83172","31396","13984","23122","189321","900454"
"23/04","188812","182426","133853","52129","85369","32698","14617","23624","194569","947504"
"24/04","191745","185535","136196","53146","87645","33305","15042","24290","200077","987066"
"25/04","192336","187743","136381","53620","87971","33633","15042","24831","201848","1000682"
"26/04","192336","188259","136381","53871","88361","33633","15042","25334","201848","1002420"
"27/04","195007","191644","137087","54273","89571","34295","15050","25979","205203","1021228"
"28/04","198492","198228","139489","55478","91957","35316","15426","26584","210770","1057804"
"29/04","202220","202506","141866","56642","93964","36173","15777","27219","218800","1117118"
"30/04","206320","206798","144228","57964","96508","37126","16260","27853","226934","1159553"
"01/05","210376","210242","146497","59442","98895","38100","16820","28547","232357","1193568"
"02/05","211022","211522","146737","60139","99870","38405","16820","28943","233856","1206760"
"03/05","211022","212357","146737","60515","100388","38543","16820","29327","234457","1210449"
"04/05","215006","220133","147216","62094","102554","39736","16820","30011","238282","1245117"
"05/05","219594","230404","149885","63790","105415","40885","17395","30733","243500","1294713"
"06/05","224076","239468","152111","65453","107834","41664","18049","31544","248985","1344345"
"07/05","229491","249405","154403","67198","110273","42374","18869","32337","254632","1395549"
"08/05","234725","257475","156847","68846","112605","43155","19405","33240","260616","1440811"
"09/05","235852","261152","157164","69780","113624","43620","19405","33627","261798","1458316"
"10/05","235852","263065","157164","70310","114506","43727","19441","33873","262096","1463187"
