Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,225680357,2895.364532167919,3821566,49.02875376849396,501419,4644740,59.58965873641196,60753,0.7794301806372882,7316,
United States of America,Americas,41066110,12406.58,1023089,309.09,125961,657114,198.52,11988,3.62,971
India,South-East Asia,33316755,2414.25,220037,15.94,27176,443497,32.14,2086,0.15,284
Brazil,Americas,21006424,9882.61,106491,50.1,6645,587066,276.19,3256,1.53,215
The United Kingdom,Europe,7282814,10728.01,226704,333.95,26251,134446,198.05,963,1.42,185
Russian Federation,Europe,7194926,4930.24,129022,88.41,18841,195041,133.65,5459,3.74,792
France,Europe,6710718,10317.93,57992,89.16,9944,113681,174.79,441,0.68,135
Turkey,Europe,6710666,7956.77,168012,199.21,27802,60393,71.61,1742,2.07,276
Iran (Islamic Republic of),Eastern Mediterranean,5340656,6358.46,156532,186.36,22329,115167,137.12,3275,3.9,408
Argentina,Americas,5226831,11564.87,19136,42.34,2297,113640,251.44,967,2.14,238
Colombia,Americas,4931563,9691.99,11790,23.17,1314,125687,247.01,356,0.7,40
Spain,Europe,4918526,10391.41,20203,42.68,1715,85548,180.74,261,0.55,11
Italy,Europe,4613214,7734.91,33712,56.52,4009,130027,218.01,389,0.65,72
Indonesia,South-East Asia,4178164,1527.53,30799,11.26,3948,139682,51.07,1900,0.69,267
Germany,Europe,4101931,4932.18,71250,85.67,12455,92769,111.55,321,0.39,83
Mexico,Americas,3516043,2727.04,82532,64.01,4161,267969,207.84,4499,3.49,221
Poland,Europe,2895223,7627.41,3621,9.54,768,75454,198.78,51,0.13,21
South Africa,Africa,2864534,4829.87,40471,68.24,3699,85302,143.83,1685,2.84,300
Ukraine,Europe,2325796,5318.08,22520,51.49,4640,54550,124.73,436,1,93
Philippines,Western Pacific,2266066,2067.94,144758,132.1,18056,35529,32.42,1031,0.94,222
Peru,Americas,2161358,6555.16,5850,17.74,272,198799,602.94,276,0.84,35
Malaysia,Western Pacific,2011440,6214.67,130706,403.84,15669,21587,66.7,2785,8.6,463
Netherlands,Europe,1974662,11343.69,15976,91.78,2041,18083,103.88,35,0.2,10
Iraq,Eastern Mediterranean,1959369,4871.33,30439,75.68,4400,21596,53.69,376,0.93,46
Czechia,Europe,1684357,15750.58,2679,25.05,555,30417,284.43,5,0.05,1
Japan,Western Pacific,1650318,1304.84,59324,46.91,5875,16894,13.36,458,0.36,48
Chile,Americas,1644832,8604.39,3041,15.91,292,37253,194.88,138,0.72,0
Canada,Americas,1551072,4109.65,28745,76.16,12979,27238,72.17,214,0.57,68
Bangladesh,South-East Asia,1534440,931.72,12138,7.37,0,27007,16.4,271,0.16,0
Thailand,South-East Asia,1420340,2034.87,97821,140.14,13798,14765,21.15,1254,1.8,144
Belgium,Europe,1212106,10519.53,9848,85.47,5,25477,221.11,38,0.33,0
Pakistan,Eastern Mediterranean,1210082,547.82,23848,10.8,2574,26865,12.16,535,0.24,78
Israel,Europe,1196993,13829.21,59559,688.1,9539,7442,85.98,147,1.7,17
Sweden,Europe,1141673,11054.59,7949,76.97,2174,14729,142.62,10,0.1,1
Romania,Europe,1130586,5849.22,19431,100.53,4004,35215,182.19,381,1.97,83
Portugal,Europe,1057100,10267.18,8159,79.25,1058,17872,173.58,56,0.54,6
Kazakhstan,Europe,918208,4890.14,22444,119.53,0,15031,80.05,608,3.24,0
Morocco,Eastern Mediterranean,905564,2453.4,16032,43.43,917,13618,36.89,394,1.07,72
Serbia,Europe,830884,11995.37,41989,606.19,7723,7601,109.73,180,2.6,26
Hungary,Europe,816222,8354.78,2158,22.09,371,30114,308.24,37,0.38,12
Switzerland,Europe,812608,9389.3,12466,144.04,3,10540,121.78,28,0.32,0
